condition,reference_condition,feature_id,Q_Ah,t_DCAC_s,t_DC_s,period_s,phase_rad,phase_norm,cycle_count,x_DCAC_inst,x_DC_inst,delta_x_inst,x_DCAC_cycle_mean,x_DC_window_mean,delta_x_cycle_mean,x_DCAC_cycle_min,x_DCAC_cycle_max,x_DCAC_cycle_amp,ac_window_n_points,dc_window_n_points,ac_window_covered_s,dc_window_covered_s,window_valid
DC03_AC07_10tau,DC03,pos_avg_surface_sto,1.5276831042692258,3149.8056801930315,3666.4394502461428,697.4335690969341,3.2438865207684238,0.5162805746094649,4.516280574609465,0.614285422039807,0.6278982100065067,-0.013612787966699735,0.6400318227696223,0.6278923448432793,0.012139477926343067,0.6083728929927036,0.682320729422093,0.0739478364293894,1065,728,694.5113465939426,697.2855906019804,True
DC03_AC07_10tau,DC03,elyte_c_mean,1.5276831042692258,3149.8056801930315,3666.4394502461428,697.4335690969341,3.2438865207684238,0.5162805746094649,4.516280574609465,978.3277196802471,983.3048571466834,-4.977137466436261,984.2823059856192,983.301757369951,0.9805486156682264,952.3449110332967,1020.6511987689004,68.30628773560363,1065,728,694.5113465939426,697.2855906019804,True
DC03_AC07_10tau,DC03,elyte_c_range,1.5276831042692258,3149.8056801930315,3666.4394502461428,697.4335690969341,3.2438865207684238,0.5162805746094649,4.516280574609465,469.5109022570446,348.7974078082972,120.71349444874744,519.2209179051055,348.86091794350045,170.359999961605,5.120969842955219,1072.6578201295806,1067.5368502866254,1065,728,694.5113465939426,697.2855906019804,True
DC03_AC07_10tau,DC03,eta_n_mean,1.5276831042692258,3149.8056801930315,3666.4394502461428,697.4335690969341,3.2438865207684238,0.5162805746094649,4.516280574609465,-0.02851277596860922,-0.03544405391426426,0.0069312779456550365,-0.03128320454277554,-0.035462811119919085,0.004179606577143544,-0.0929836551387273,0.04018505753820545,0.13316871267693275,1065,728,694.5113465939426,697.2855906019804,True
DC03_AC07_10tau,DC03,eta_p_mean,1.5276831042692258,3149.8056801930315,3666.4394502461428,697.4335690969341,3.2438865207684238,0.5162805746094649,4.516280574609465,0.0027769292381767683,0.003736127042778424,-0.0009591978046016559,0.0034732694909226413,0.003736983492826829,-0.0002637140019041877,-0.005664801645031137,0.011386844471542368,0.017051646116573504,1065,728,694.5113465939426,697.2855906019804,True
DC03_AC07_10tau,DC03,j_n_rms,1.5276831042692258,3149.8056801930315,3666.4394502461428,697.4335690969341,3.2438865207684238,0.5162805746094649,4.516280574609465,-0.34009297253780546,-0.4464741494516345,0.10638117691382903,-0.46170106988467163,-0.4464741494840635,-0.015226920400608135,-1.4882430530310358,0.59529871933927,2.083541772370306,1065,728,694.5113465939426,697.2855906019804,True
DC03_AC07_10tau,DC03,j_p_rms,1.5276831042692258,3149.8056801930315,3666.4394502461428,697.4335690969341,3.2438865207684238,0.5162805746094649,4.516280574609465,0.3850596063201065,0.5055063587472154,-0.1204467524271089,0.5227465432036371,0.5055063584707102,0.017240184732926878,-0.6740083123488535,1.6850165403580106,2.359024852706864,1065,728,694.5113465939426,697.2855906019804,True
DC03_AC07_10tau,DC03,cell_temperature_K,1.5276831042692258,3149.8056801930315,3666.4394502461428,697.4335690969341,3.2438865207684238,0.5162805746094649,4.516280574609465,298.15,298.15,0.0,298.15,298.15000000000003,-5.684341886080802e-14,298.15,298.15,0.0,1065,728,694.5113465939426,697.2855906019804,True
DC03_AC07_10tau,DC03,total_heating_mean,1.5276831042692258,3149.8056801930315,3666.4394502461428,697.4335690969341,3.2438865207684238,0.5162805746094649,4.516280574609465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1065,728,694.5113465939426,697.2855906019804,True
DC03_AC07_10tau,DC03,neg_surface_minus_avg_sto,1.5276831042692258,3149.8056801930315,3666.4394502461428,697.4335690969341,3.2438865207684238,0.5162805746094649,4.516280574609465,0.006577247476651096,0.0049497328150089745,0.0016275146616421213,0.005103292128347738,0.004949732815007157,0.00015355931334058107,-0.005842675237839767,0.01574256255276779,0.02158523779060756,1065,728,694.5113465939426,697.2855906019804,True
DC03_AC07_10tau,DC03,pos_surface_minus_avg_sto,1.5276831042692258,3149.8056801930315,3666.4394502461428,697.4335690969341,3.2438865207684238,0.5162805746094649,4.516280574609465,-0.03522784281666397,-0.021624117134014405,-0.013603725682649562,-0.021944254905406836,-0.021624076413942477,-0.0003201784914643596,-0.04821688702727722,0.004961035349424603,0.053177922376701825,1065,728,694.5113465939426,697.2855906019804,True
DC03_AC07_10tau,DC03,neg_surface_sto_range,1.5276831042692258,3149.8056801930315,3666.4394502461428,697.4335690969341,3.2438865207684238,0.5162805746094649,4.516280574609465,0.0698598400979146,0.032546992021937046,0.03731284807597755,0.05513961543562066,0.03301239569954392,0.022127219736076738,0.03149193683628809,0.07269326721599978,0.04120133037971169,1065,728,694.5113465939426,697.2855906019804,True
DC03_AC07_10tau,DC03,neg_avg_sto,1.5667326073359678,3612.298752787294,3760.1582576063206,697.4335690969341,1.127305471194802,0.17941623811519097,5.179416238115191,0.33940370550781246,0.3394056787708363,-1.9732630238689097e-06,0.34785268668335756,0.3394087945290197,0.008443892154337884,0.31815586381202693,0.38357973511218657,0.06542387130015964,1060,725,696.3465163993064,694.3145152601664,True
DC03_AC07_10tau,DC03,neg_avg_surface_sto,1.5667326073359678,3612.298752787294,3760.1582576063206,697.4335690969341,1.127305471194802,0.17941623811519097,5.179416238115191,0.3526278431010114,0.3443554115858463,0.008272431515165102,0.3529097559381481,0.34435852734402667,0.00855122859412144,0.3147198267319323,0.389655785177344,0.07493595844541173,1060,725,696.3465163993064,694.3145152601664,True
DC03_AC07_10tau,DC03,neg_max_surface_sto,1.5667326073359678,3612.298752787294,3760.1582576063206,697.4335690969341,1.127305471194802,0.17941623811519097,5.179416238115191,0.39926856714823555,0.367284060670947,0.031984506477288566,0.40439897790099794,0.3675829355690842,0.03681604233191371,0.3470716226922802,0.4625741936756466,0.11550257098336641,1060,725,696.3465163993064,694.3145152601664,True
DC03_AC07_10tau,DC03,neg_min_surface_sto,1.5667326073359678,3612.298752787294,3760.1582576063206,697.4335690969341,1.127305471194802,0.17941623811519097,5.179416238115191,0.3329968776338229,0.333019737239336,-2.2859605513070314e-05,0.3315691046896048,0.33288251585272816,-0.0013134111631233347,0.3005899908471238,0.3602240070632704,0.05963401621614661,1060,725,696.3465163993064,694.3145152601664,True
DC03_AC07_10tau,DC03,pos_avg_sto,1.5667326073359678,3612.298752787294,3760.1582576063206,697.4335690969341,1.127305471194802,0.17941623811519097,5.179416238115191,0.6450518072485687,0.6450504903683709,1.3168801977769817e-06,0.639413280676545,0.6450484110306449,-0.005635130354099904,0.6155704163452819,0.6592318033345577,0.0436613869892758,1060,725,696.3465163993064,694.3145152601664,True
DC03_AC07_10tau,DC03,pos_avg_surface_sto,1.5667326073359678,3612.298752787294,3760.1582576063206,697.4335690969341,1.127305471194802,0.17941623811519097,5.179416238115191,0.6109616665394579,0.6234263205096123,-0.012464653970154393,0.6175741560262888,0.6234242718322909,-0.005850115806002032,0.5751127268893177,0.6632989091751993,0.0881861822858816,1060,725,696.3465163993064,694.3145152601664,True
DC03_AC07_10tau,DC03,elyte_c_mean,1.5667326073359678,3612.298752787294,3760.1582576063206,697.4335690969341,1.127305471194802,0.17941623811519097,5.179416238115191,958.998163977427,983.3496522668806,-24.35148828945364,984.8504803360247,983.3452259390923,1.5052543969324006,953.2669822297835,1020.6511987689004,67.38421653911689,1060,725,696.3465163993064,694.3145152601664,True
DC03_AC07_10tau,DC03,elyte_c_range,1.5667326073359678,3612.298752787294,3760.1582576063206,697.4335690969341,1.127305471194802,0.17941623811519097,5.179416238115191,890.8664336988146,347.86759460654287,542.9988390922717,510.1754796176974,347.9583146928805,162.21716492481693,5.120969842955219,1055.5428592227386,1050.4218893797834,1060,725,696.3465163993064,694.3145152601664,True
DC03_AC07_10tau,DC03,eta_n_mean,1.5667326073359678,3612.298752787294,3760.1582576063206,697.4335690969341,1.127305471194802,0.17941623811519097,5.179416238115191,-0.0860152850057919,-0.03528016870869191,-0.050735116297099994,-0.029890671945777544,-0.035299049929279694,0.00540837798350215,-0.09025418416441096,0.04018505753820545,0.1304392417026164,1060,725,696.3465163993064,694.3145152601664,True
DC03_AC07_10tau,DC03,eta_p_mean,1.5667326073359678,3612.298752787294,3760.1582576063206,697.4335690969341,1.127305471194802,0.17941623811519097,5.179416238115191,0.010690539175302105,0.0037275092750214986,0.006963029900280606,0.0033741877434606327,0.0037283410193453066,-0.0003541532758846739,-0.005664801645031137,0.011221016719638044,0.01688581836466918,1060,725,696.3465163993064,694.3145152601664,True
DC03_AC07_10tau,DC03,j_n_rms,1.5667326073359678,3612.298752787294,3760.1582576063206,697.4335690969341,1.127305471194802,0.17941623811519097,5.179416238115191,-1.3874467771028678,-0.4464741494556478,-0.94097262764722,-0.457273910588201,-0.4464741494564183,-0.010799761131782715,-1.4882404756006997,0.59529871933927,2.08353919493997,1060,725,696.3465163993064,694.3145152601664,True
DC03_AC07_10tau,DC03,j_p_rms,1.5667326073359678,3612.298752787294,3760.1582576063206,697.4335690969341,1.127305471194802,0.17941623811519097,5.179416238115191,1.570893116900865,0.5055063587743824,1.0653867581264826,0.5177340565958629,0.5055063586411569,0.012227697954706018,-0.6740083123488535,1.685013622115612,2.3590219344644656,1060,725,696.3465163993064,694.3145152601664,True
DC03_AC07_10tau,DC03,cell_temperature_K,1.5667326073359678,3612.298752787294,3760.1582576063206,697.4335690969341,1.127305471194802,0.17941623811519097,5.179416238115191,298.15,298.15,0.0,298.15,298.1500000000001,-1.1368683772161603e-13,298.15,298.15,0.0,1060,725,696.3465163993064,694.3145152601664,True
DC03_AC07_10tau,DC03,total_heating_mean,1.5667326073359678,3612.298752787294,3760.1582576063206,697.4335690969341,1.127305471194802,0.17941623811519097,5.179416238115191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1060,725,696.3465163993064,694.3145152601664,True
DC03_AC07_10tau,DC03,neg_surface_minus_avg_sto,1.5667326073359678,3612.298752787294,3760.1582576063206,697.4335690969341,1.127305471194802,0.17941623811519097,5.179416238115191,0.01322413759319894,0.004949732815009981,0.00827440477818896,0.005057069254790498,0.00494973281500705,0.00010733643978344792,-0.005842675237839767,0.01574231413334809,0.021584989371187857,1060,725,696.3465163993064,694.3145152601664,True
DC03_AC07_10tau,DC03,pos_surface_minus_avg_sto,1.5667326073359678,3612.298752787294,3760.1582576063206,697.4335690969341,1.127305471194802,0.17941623811519097,5.179416238115191,-0.03409014070911073,-0.021624169858758605,-0.012465970850352129,-0.02183912465025613,-0.021624139198354157,-0.00021498545190197504,-0.048208818391934694,0.004961035349424603,0.053169853741359296,1060,725,696.3465163993064,694.3145152601664,True
DC03_AC07_10tau,DC03,neg_surface_sto_range,1.5667326073359678,3612.298752787294,3760.1582576063206,697.4335690969341,1.127305471194802,0.17941623811519097,5.179416238115191,0.06627168951441263,0.034264323431611045,0.03200736608280159,0.07282987321139311,0.0347004197163561,0.03812945349503701,0.045496919509012856,0.10302243267472783,0.05752551316571497,1060,725,696.3465163993064,694.3145152601664,True
DC03_AC07_10tau,DC03,neg_avg_sto,1.6057821104027097,3641.457062151071,3853.8770649665025,697.4335690969341,1.3899929429405447,0.22122424773183852,5.221224247731839,0.34610449308715124,0.3461064478858474,-1.9547986961354624e-06,0.3498050272948412,0.3461379279025838,0.0036670993922574002,0.31815586381202693,0.38357973511218657,0.06542387130015964,1061,727,696.8945437172379,696.9839411352555,True
DC03_AC07_10tau,DC03,neg_avg_surface_sto,1.6057821104027097,3641.457062151071,3853.8770649665025,697.4335690969341,1.3899929429405447,0.22122424773183852,5.221224247731839,0.3608440737386022,0.35105618070084893,0.009787893037753292,0.35485112206762337,0.3510876607175922,0.003763461350031194,0.3147198267319323,0.389655785177344,0.07493595844541173,1061,727,696.8945437172379,696.9839411352555,True
DC03_AC07_10tau,DC03,neg_max_surface_sto,1.6057821104027097,3641.457062151071,3853.8770649665025,697.4335690969341,1.3899929429405447,0.22122424773183852,5.221224247731839,0.4141579788942036,0.3753297391738568,0.03882823972034677,0.40734361995970503,0.37564484804840537,0.03169877191129966,0.3470716226922802,0.4625741936756466,0.11550257098336641,1061,727,696.8945437172379,696.9839411352555,True
DC03_AC07_10tau,DC03,neg_min_surface_sto,1.6057821104027097,3641.457062151071,3853.8770649665025,697.4335690969341,1.3899929429405447,0.22122424773183852,5.221224247731839,0.3387289855727021,0.33915785710682106,-0.0004288715341189686,0.3331862066679259,0.33905413694189784,-0.005867930273971922,0.3005899908471238,0.3602240070632704,0.05963401621614661,1061,727,696.8945437172379,696.9839411352555,True
DC03_AC07_10tau,DC03,pos_avg_sto,1.6057821104027097,3641.457062151071,3853.8770649665025,697.4335690969341,1.3899929429405447,0.22122424773183852,5.221224247731839,0.6405799581540356,0.6405786535962246,1.3045578109993627e-06,0.6381103632967131,0.6405576450382493,-0.002447281741536189,0.6155704163452819,0.6592318033345577,0.0436613869892758,1061,727,696.8945437172379,696.9839411352555,True
DC03_AC07_10tau,DC03,pos_avg_surface_sto,1.6057821104027097,3641.457062151071,3853.8770649665025,697.4335690969341,1.3899929429405447,0.22122424773183852,5.221224247731839,0.6008201519407794,0.6189544437525122,-0.01813429181173276,0.6162946362294862,0.6189334584089068,-0.0026388221794205746,0.5751127268893177,0.6632989091751993,0.0881861822858816,1061,727,696.8945437172379,696.9839411352555,True
DC03_AC07_10tau,DC03,elyte_c_mean,1.6057821104027097,3641.457062151071,3853.8770649665025,697.4335690969341,1.3899929429405447,0.22122424773183852,5.221224247731839,955.3451102068352,983.3924160912691,-28.047305884433854,984.9141984849138,983.3871968363375,1.527001648576288,953.2669822297835,1020.6511987689004,67.38421653911689,1061,727,696.8945437172379,696.9839411352555,True
DC03_AC07_10tau,DC03,elyte_c_range,1.6057821104027097,3641.457062151071,3853.8770649665025,697.4335690969341,1.3899929429405447,0.22122424773183852,5.221224247731839,989.1419228777639,346.9795917408805,642.1623311368835,510.77144731675065,347.0858445159101,163.68560280084057,5.120969842955219,1055.5428592227386,1050.4218893797834,1061,727,696.8945437172379,696.9839411352555,True
DC03_AC07_10tau,DC03,eta_n_mean,1.6057821104027097,3641.457062151071,3853.8770649665025,697.4335690969341,1.3899929429405447,0.22122424773183852,5.221224247731839,-0.08948295208306453,-0.03512454076633588,-0.05435841131672865,-0.029851474244593952,-0.035142970229456824,0.005291495984862872,-0.09025418416441096,0.04018505753820545,0.1304392417026164,1061,727,696.8945437172379,696.9839411352555,True
DC03_AC07_10tau,DC03,eta_p_mean,1.6057821104027097,3641.457062151071,3853.8770649665025,697.4335690969341,1.3899929429405447,0.22122424773183852,5.221224247731839,0.01116186599970583,0.0037192536984686922,0.007442612301237138,0.0033681354583236477,0.0037200352177686876,-0.00035189975944504,-0.005664801645031137,0.011221016719638044,0.01688581836466918,1061,727,696.8945437172379,696.9839411352555,True
DC03_AC07_10tau,DC03,j_n_rms,1.6057821104027097,3641.457062151071,3853.8770649665025,697.4335690969341,1.3899929429405447,0.22122424773183852,5.221224247731839,-1.4712383239094147,-0.44647414944936503,-1.0247641744600497,-0.45620820338202145,-0.44647414947115577,-0.009734053910865681,-1.4882404756006997,0.59529871933927,2.08353919493997,1061,727,696.8945437172379,696.9839411352555,True
DC03_AC07_10tau,DC03,j_p_rms,1.6057821104027097,3641.457062151071,3853.8770649665025,697.4335690969341,1.3899929429405447,0.22122424773183852,5.221224247731839,1.6657634689034706,0.5055063587446548,1.160257110158816,0.5165274429917976,0.5055063587817645,0.011021084210033116,-0.6740083123488535,1.685013622115612,2.3590219344644656,1061,727,696.8945437172379,696.9839411352555,True
DC03_AC07_10tau,DC03,cell_temperature_K,1.6057821104027097,3641.457062151071,3853.8770649665025,697.4335690969341,1.3899929429405447,0.22122424773183852,5.221224247731839,298.15,298.15,0.0,298.15000000000003,298.1500000000001,-5.684341886080802e-14,298.15,298.15,0.0,1061,727,696.8945437172379,696.9839411352555,True
DC03_AC07_10tau,DC03,total_heating_mean,1.6057821104027097,3641.457062151071,3853.8770649665025,697.4335690969341,1.3899929429405447,0.22122424773183852,5.221224247731839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1061,727,696.8945437172379,696.9839411352555,True
DC03_AC07_10tau,DC03,neg_surface_minus_avg_sto,1.6057821104027097,3641.457062151071,3853.8770649665025,697.4335690969341,1.3899929429405447,0.22122424773183852,5.221224247731839,0.014739580651451006,0.004949732815001554,0.009789847836449452,0.005046094772782144,0.004949732815008391,9.63619577737532e-05,-0.005842675237839767,0.01574231413334809,0.021584989371187857,1061,727,696.8945437172379,696.9839411352555,True
